WARN  [2013-11-26 17:55:42,815] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
ERROR [2013-11-26 18:02:08,360] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:08,403] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:08,403] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:08,405] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:11,409] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:11,484] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:11,488] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:11,494] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:14,497] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:14,543] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:14,543] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:14,543] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:17,546] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:17,566] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:17,566] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:17,566] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:20,569] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:20,593] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:20,594] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:20,595] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:23,600] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:23,646] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:23,647] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:23,647] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:26,649] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:26,691] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:26,691] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:26,692] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:29,694] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:29,738] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:29,739] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:29,741] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:32,746] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:32,792] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:32,792] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:32,792] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:35,794] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:35,844] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:35,845] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:35,845] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:38,855] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:38,903] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:38,905] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:38,905] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:41,924] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:42,056] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:42,057] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:42,057] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:45,060] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:45,070] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:45,070] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:45,070] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
WARN  [2013-11-26 18:02:46,383] [Thread-52] (VSensorLoader.java:461)     - Removing the resources associated with : C:\Users\sudeep\workspace\GSN\virtual-sensors\multiFormatSample.xml [done].
WARN  [2013-11-26 18:02:46,513] [Thread-52] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 18:02:46,514] [Thread-52] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 18:02:46,514] [Thread-52] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 18:02:46,768] [Thread-52] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 18:02:46,768] [Thread-52] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 18:02:46,768] [Thread-52] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 18:02:46,963] [Thread-10] (Slf4jLog.java:111)     - 1 threads could not be stopped
WARN  [2013-11-26 18:02:49,668] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 18:02:51,976] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 18:02:52,831] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
ERROR [2013-11-26 18:02:55,584] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:02:55,584] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
WARN  [2013-11-26 18:02:55,606] [VSensorLoader-Thread0] (VSensorLoader.java:217)     - adding : multiformattemperaturehandler virtual sensor[C:\Users\sudeep\workspace\GSN\virtual-sensors\multiFormatSample.xml]
ERROR [2013-11-26 18:02:58,653] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:02:58,654] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:01,676] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:01,678] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:04,773] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:04,774] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:07,814] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:07,814] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
WARN  [2013-11-26 18:03:10,792] [Thread-40] (VSensorLoader.java:461)     - Removing the resources associated with : C:\Users\sudeep\workspace\GSN\virtual-sensors\multiFormatSample.xml [done].
WARN  [2013-11-26 18:03:10,889] [Thread-40] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 18:03:10,889] [Thread-40] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 18:03:10,890] [Thread-40] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 18:03:11,056] [Thread-40] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 18:03:11,056] [Thread-40] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 18:03:11,056] [Thread-40] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 18:03:14,850] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 18:03:17,052] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 18:03:17,971] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
ERROR [2013-11-26 18:03:20,634] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:20,635] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
WARN  [2013-11-26 18:03:20,688] [VSensorLoader-Thread0] (VSensorLoader.java:217)     - adding : multiformattemperaturehandler virtual sensor[C:\Users\sudeep\workspace\GSN\virtual-sensors\multiFormatSample.xml]
ERROR [2013-11-26 18:03:23,761] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:23,762] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
